t_mid,Fp,ipi_cv,amp_rel,spec_ent,speed_mean,speed_cv,tortuosity,v_vert,immobility,conf_mean,dropout,bell_diam_px
29.97995,0.8100008100008291,0.9193633550549898,0.7980499126208158,0.4488899062692485,86.1396761588129,7.6265778479709665,17.80972176200721,0.20792297878411983,0.328881469115192,0.8355368326482424,0.04171301446051168,127.5814954776938
59.97658333333334,0.9221547683086363,0.9953564676671256,0.8183087801699718,0.3853931576089179,33.78622232838206,1.187575138867509,7.37939585729537,0.23674574948993257,0.5219810795770728,0.7973519713702737,0.10289210233592881,127.81730993832558
89.97321666666667,0.9365634365634586,1.3144330250352403,0.8563189819905925,0.4760373659691987,41.51490732918618,1.1110929295535141,72.46427710811892,-0.5149152613352791,0.4301613800779076,0.8076182430550262,0.06451612903225806,129.13986708449733
119.96985000000001,0.9667751603235702,0.9198810368758091,0.8558495041921942,0.492754956616742,54.94767698466228,1.258781876149562,84.2292214495211,0.5507668588711936,0.38731218697829717,0.7391120367937372,0.010567296996662959,126.06234953423058
149.96648333333337,0.7684623069238635,0.8337661152369742,0.8156156736125953,0.4064920198601755,62.1883539745222,1.747802373498879,12.37251122075932,-0.9936572583302217,0.44908180300500833,0.6683558729407626,0.06229143492769744,113.89878764067923
179.96311666666668,0.9365634365634586,0.984029329929504,0.9208431178721396,0.41274387906647414,58.38684660387586,1.7519760811688625,19.912666879051745,-0.6215111611310162,0.39120756816917085,0.7278107137457749,0.11123470522803114,110.52957168605388
209.95974999999999,0.8814714697067847,1.1772004710625705,0.8989009693536137,0.4479723492290086,30.723709481380993,1.7771439412715297,4.30633252605894,1.5331446933237005,0.5642737896494157,0.6380882553683089,0.20689655172413793,96.45850575306781
239.9563833333333,0.8100008100008291,1.0821827283176584,0.7292694730513588,0.47602586037445616,25.854050195336736,1.3159898983567964,4.20711830904456,0.4621669952150359,0.5965498052309405,0.7389680001367095,0.14738598442714126,102.34903076012183
269.9530166666667,0.8442261963388923,1.4392940694673948,0.8922135177234649,0.45622986104084856,28.6169509404621,3.3131608012101452,5.179838352087995,0.024541199413350364,0.568725653867557,0.6699871689429079,0.2853170189098999,88.68021730769864
299.94965,0.35258858788271386,1.4245936712016103,0.6103128880541326,0.5065913945055013,9.892733038581948,9.409173236086199,18.034270833758374,0.24565368049618047,0.8931552587646077,0.1686206492874548,0.768075639599555,63.83457841939281
329.9462833333333,0.8100008100008291,0.6144016734460688,0.7878641822890793,0.45503698920163893,16.740236874865946,1.9566798119678632,6.94242026609825,-0.32484479014842493,0.7050639955481358,0.808725135712437,0.5311457174638488,92.0255089204175
359.94291666666663,0.7400007400007574,0.6566765016838568,0.8032005634876545,0.513416000769279,31.733332276283686,0.9216524233429696,9.326359539833811,-0.42571176345464534,0.4980523094045632,0.8738799463546046,0.04838709677419355,117.97050837678378
389.93955000000005,0.7221693968682091,0.6546918417661517,0.4236265622752678,0.5271271031506777,35.27855472634176,1.053581153944386,11.31156099156247,-0.062342283914230016,0.4524207011686144,0.8970312714676173,0.0,119.48141565340934
419.93618333333325,0.749250749250767,0.387725892177459,0.3147909142800825,0.5148169477758309,49.473970675326626,1.420659852519387,12.29614822580086,0.04161513374450318,0.3283249860879243,0.8781103678089095,0.0,110.1961757678976
449.93281666666667,0.749250749250767,0.5074381649623992,0.5390240247542459,0.504901968793759,60.9857011458664,1.415462951951129,20.746535787429607,0.04000679972560867,0.2615470228158041,0.8592240158157699,0.0,106.11104252986493
479.92945,0.8325008325008522,0.7447796919467302,0.5429332888963032,0.47846043702967,67.36337086952854,1.2876502901780627,239.28595858132132,-0.19972454702540632,0.21869782971619364,0.8695666889460121,0.0,102.44605725245127
509.92608333333334,0.908182726364566,0.5417903412760938,0.5265366682802725,0.558891747876905,68.56189973874682,1.0779326883901377,6.958808718743848,-0.5950194568187127,0.1775180856983862,0.9000053455156002,0.0,110.4039789695436
539.9227166666667,1.0334493093114028,0.3135332597772878,0.5750937454517958,0.4833648035426924,58.20540370718067,0.8311766509492198,47.01267897466233,-0.5515445596243939,0.20812465219810797,0.9240387078784862,0.0,133.7916936753528
569.91935,1.1100011100011362,0.33007607400173417,0.5524509579670664,0.44644135295119747,48.97661877851642,0.7602771589126363,6.104077781421618,-0.5424931000758798,0.33834168057874237,0.9367455802650685,0.0,150.89322013032924
